Partlist

Exported from cell-supervisor.brd at 15.04.2008 18:16:00 

EAGLE Version 4.16r2 Copyright (c) 1988-2006 CadSoft

Part     Value          Package      Library        Position (inch)       Orientation

C1       100nF          C0504        rcl            (2.975 2.975)         R270
C2       100nF          C0504        rcl            (2.6 2.9)             R90
C3       100nF          C0504        rcl            (3.425 2.8)           R270
C4       1uF            C0603K       rcl            (1.7 3.05)            R180
C6       100nF          C0504        rcl            (2.075 2.925)         R270
C7       100nF          C0504        rcl            (1.925 2.75)          R270
C9       10nF           C0504        rcl            (1.925 3.125)         R90
C10      1uF            C0603K       rcl            (1.675 3.15)          R270
D1       5V6            SMB          diode          (0.5 3.075)           R270
IC1      TINY26LS       SO20L        atmel          (2.325 2.9)           R90
IC2                     SOT23-5      v-reg-micrel   (1.8 3.15)            R270
L2       10uH           L3225M       rcl            (2.05 3.125)          R90
LED1     Green          CHIPLED_0805 led            (2.6 3.05)            R180
LED2     Red            CHIPLED_0805 led            (1.675 2.9)           R180
OK1      TLP283         MINI-FLAT-4  optocoupler    (3.2 3.125)           R180
R1       100k           M0805        rcl            (3.8 2.875)           R270
R2       150            R1206        rcl            (1.25 2.775)          R90
R3       150            R1206        rcl            (0.65 3.05)           R90
R4       150            R1206        rcl            (0.75 3.05)           R90
R5       150            R1206        rcl            (0.85 3.05)           R90
R6       100k           M0805        rcl            (1.925 2.9)           R270
R7       100k           M0805        rcl            (3.7 2.875)           R90
R8       150            R1206        rcl            (0.95 3.05)           R90
R9       150            R1206        rcl            (1.05 3.05)           R90
R10      150            R1206        rcl            (1.15 3.05)           R90
R11      150            R1206        rcl            (1.25 3.05)           R90
R12      100k           M0805        rcl            (1.825 2.75)          R270
R13      100k           M0805        rcl            (2.275 2.625)         R180
R14      150            R1206        rcl            (1.35 3.05)           R90
R15      150            R1206        rcl            (1.45 3.05)           R90
R16      150            R1206        rcl            (0.85 2.775)          R90
R17      150            R1206        rcl            (0.95 2.775)          R90
R18      150            R1206        rcl            (1.05 2.775)          R90
R19      150            R1206        rcl            (1.15 2.775)          R90
R20      150            R1206        rcl            (1.35 2.775)          R90
R21      150            R1206        rcl            (1.45 2.775)          R90
R22      150            R1206        rcl            (1.55 2.775)          R90
R23      150            R1206        rcl            (0.75 2.775)          R90
R24      150            R1206        rcl            (0.65 2.775)          R90
R25      180            M0805        rcl            (2.675 3.175)         R180
R26      100k           M0805        rcl            (2.775 2.95)          R270
R27      100k           M0805        rcl            (2.7 2.95)            R270
R35      150            R1206        rcl            (1.55 3.05)           R90
R45      2.5A           SMS-WAV      resistor-shunt (0.175 3.15)          R0
R46      180            M0805        rcl            (1.65 2.75)           R90
R49      180            M0805        rcl            (2.875 3.15)          R0
R50      180            M0805        rcl            (2.85 2.95)           R270
R51      680            M0805        rcl            (3.35 3)              R270
SV1                     MA03-2       con-lstb       (2.75 2.75)           R0
T1       FDN337N        SOT23        transistor-fet (0.475 2.775)         R270
U$2      WAGO2-233-102  233-102      con-wago       (0.125 2.85)          R0
U$3      ADUM1250       SO8          analog-devices (3.175 2.8)           R270
U$4      LM61SOT23      SOT23        linear         (3.025 2.65)          R270
X2                      FSIDE-8      con-amp        (3.675 3.1)           R180
