Partlist

Exported from supervisor.sch at 09.07.10 15:18

EAGLE Version 5.8.0 Copyright (c) 1988-2010 CadSoft

Part     Value          Device             Package      Library         Sheet

C1       100n           C-EUC0603          C0603        resistor        1
C2       100n           C-EUC0603          C0603        resistor        1
C3       100n           C-EUC0603          C0603        resistor        1
C4       100n           C-EUC0603          C0603        resistor        1
C5       100n           C-EUC0603          C0603        resistor        1
C6       100n           C-EUC0603          C0603        resistor        1
C7       100n           C-EUC0603          C0603        resistor        1
C8       100n           C-EUC0603          C0603        resistor        1
C9       100n           C-EUC0603          C0603        resistor        1
C10      100n           C-EUC0603          C0603        resistor        1
C11      100n           C-EUC0603          C0603        resistor        1
C12      100n           C-EUC0603          C0603        resistor        1
C13      100n           C-EUC0603          C0603        resistor        1
C14      1u             C-EUC0603          C0603        resistor        1
C15      1u             C-EUC0603          C0603        resistor        1
C16      1u             C-EUC0603          C0603        resistor        1
C17      1u             C-EUC0603          C0603        resistor        1
CON1     IN             CON06L             CON06L       con-harting     1
CON2     OUT            CON06L             CON06L       con-harting     1
D1       12V            MM3Z12VT1          SOD323-R     icontroller     1
D2       6V2            BZT52C6V2S         SOD323-R     icontroller     1
D3       12V            MM3Z12VT1          SOD323-R     icontroller     1
D4       6V2            BZT52C6V2S         SOD323-R     icontroller     1
D5       12V            MM3Z12VT1          SOD323-R     icontroller     1
D6       6V2            BZT52C6V2S         SOD323-R     icontroller     1
D7       12V            MM3Z12VT1          SOD323-R     icontroller     1
D8       6V2            BZT52C6V2S         SOD323-R     icontroller     1
D9       12V            MM3Z12VT1          SOD323-R     icontroller     1
D10      6V2            BZT52C6V2S         SOD323-R     icontroller     1
D11      12V            MM3Z12VT1          SOD323-R     icontroller     1
D12      6V2            BZT52C6V2S         SOD323-R     icontroller     1
D13      12V            MM3Z12VT1          SOD323-R     icontroller     1
D14      6V2            BZT52C6V2S         SOD323-R     icontroller     1
D15      12V            MM3Z12VT1          SOD323-R     icontroller     1
D16      6V2            BZT52C6V2S         SOD323-R     icontroller     1
D17      12V            MM3Z12VT1          SOD323-R     icontroller     1
D18      6V2            BZT52C6V2S         SOD323-R     icontroller     1
D19      12V            MM3Z12VT1          SOD323-R     icontroller     1
D20      6V2            BZT52C6V2S         SOD323-R     icontroller     1
D21      12V            MM3Z12VT1          SOD323-R     icontroller     1
D22      6V2            BZT52C6V2S         SOD323-R     icontroller     1
D23      12V            MM3Z12VT1          SOD323-R     icontroller     1
D24      6V2            BZT52C6V2S         SOD323-R     icontroller     1
D25      RS01J          RS1J               SMA-DO214AC  icontroller     1
D26      RS01J          RS1J               SMA-DO214AC  icontroller     1
D27      RS01J          RS1J               SMA-DO214AC  icontroller     1
D28      BAT46          DIODE-MINIMELF     MINIMELF     diode           1
D29      BAT46          DIODE-MINIMELF     MINIMELF     diode           1
D30      BAT46          DIODE-MINIMELF     MINIMELF     diode           1
D31      BAT46          DIODE-MINIMELF     MINIMELF     diode           1
D32      BAT46          DIODE-MINIMELF     MINIMELF     diode           1
D33      BAT46          DIODE-MINIMELF     MINIMELF     diode           1
D34      TZM5265B-GS08  DIODE-MINIMELF     MINIMELF     diode           1
D35      CM1223-04SO    CM1223-04SOSOT23-6 SOT23-6      icontroller     1
IC1                     LTC6802-1          SSOP44DL     ltc6802         1
JP1      BOS            JP2E               JP2          jumper          1
JP2      TOS            JP2E               JP2          jumper          1
L1       FBMJ3216HS800  SM-1206            SM-1206      inductor-neosid 1
LED1     RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED2     RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED3     RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED4     RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED5     RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED6     RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED7     RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED8     RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED9     RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED10    RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED11    RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
LED12    RED            LEDCHIPLED_0805    CHIPLED_0805 led             1
R1       100            R-EU_R0603         R0603        resistor        1
R2       470            R-EU_R0603         R0603        resistor        1
R3       15             R-EU_0411/12       0411/12      resistor        1
R4       3k3            R-EU_R0603         R0603        resistor        1
R5       100            R-EU_R0603         R0603        resistor        1
R6       470            R-EU_R0603         R0603        resistor        1
R7       15             R-EU_0411/12       0411/12      resistor        1
R8       3k3            R-EU_R0603         R0603        resistor        1
R9       100            R-EU_R0603         R0603        resistor        1
R10      470            R-EU_R0603         R0603        resistor        1
R11      15             R-EU_0411/12       0411/12      resistor        1
R12      3k3            R-EU_R0603         R0603        resistor        1
R13      100            R-EU_R0603         R0603        resistor        1
R14      470            R-EU_R0603         R0603        resistor        1
R15      15             R-EU_0411/12       0411/12      resistor        1
R16      3k3            R-EU_R0603         R0603        resistor        1
R17      100            R-EU_R0603         R0603        resistor        1
R18      470            R-EU_R0603         R0603        resistor        1
R19      15             R-EU_0411/12       0411/12      resistor        1
R20      3k3            R-EU_R0603         R0603        resistor        1
R21      100            R-EU_R0603         R0603        resistor        1
R22      470            R-EU_R0603         R0603        resistor        1
R23      15             R-EU_0411/12       0411/12      resistor        1
R24      3k3            R-EU_R0603         R0603        resistor        1
R25      100            R-EU_R0603         R0603        resistor        1
R26      470            R-EU_R0603         R0603        resistor        1
R27      15             R-EU_0411/12       0411/12      resistor        1
R28      3k3            R-EU_R0603         R0603        resistor        1
R29      100            R-EU_R0603         R0603        resistor        1
R30      470            R-EU_R0603         R0603        resistor        1
R31      15             R-EU_0411/12       0411/12      resistor        1
R32      3k3            R-EU_R0603         R0603        resistor        1
R33      100            R-EU_R0603         R0603        resistor        1
R34      470            R-EU_R0603         R0603        resistor        1
R35      15             R-EU_0411/12       0411/12      resistor        1
R36      3k3            R-EU_R0603         R0603        resistor        1
R37      100            R-EU_R0603         R0603        resistor        1
R38      470            R-EU_R0603         R0603        resistor        1
R39      15             R-EU_0411/12       0411/12      resistor        1
R40      3k3            R-EU_R0603         R0603        resistor        1
R41      100            R-EU_R0603         R0603        resistor        1
R42      470            R-EU_R0603         R0603        resistor        1
R43      15             R-EU_0411/12       0411/12      resistor        1
R44      3k3            R-EU_R0603         R0603        resistor        1
R45      100            R-EU_R0603         R0603        resistor        1
R46      470            R-EU_R0603         R0603        resistor        1
R47      15             R-EU_0411/12       0411/12      resistor        1
R48      3k3            R-EU_R0603         R0603        resistor        1
R49      100            R-EU_R0603         R0603        resistor        1
R50      100            R-EU_R0603         R0603        resistor        1
R51      20             R-EU_R0603         R0603        resistor        1
